Metric,Company,Year,Values,Source,Existing,Checked
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2020,13945,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2020,162983,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2020,575910,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Accenture,2022,17804,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Accenture,2022,8356,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Accenture,2022,374297,https://www.accenture.com/us-en/about/company/reporting-approach-esg-disclosures#accordion-652e2ac5ad-item-05afc72dd8,new,
Top 100 Fashion Project Research Group+Science Based Targets,"Amazon.com, Inc.",2022,No,,,
Commons+Greenhouse Gas Emissions Scope 1,"Amazon.com, Inc.",2021,12.11,,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,"Amazon.com, Inc.",2021,16.18,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)","Amazon.com, Inc.",2021,71.54,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,"Amazon.com, Inc.",2021,0.0000101125,,,
Commons+Greenhouse Gas Emissions Scope 2,"Amazon.com, Inc.",2021,4.07,,,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,"Amazon.com, Inc.",2021,Committed,https://wikirate.org/~8081005,,
Gershon M. Bialer+CO2e Intensity,"Amazon.com, Inc.",2021,0.152277564921243,,,
WikiRate Calculated Metric Design Group+Greenhouse gas emissions per dollar revenue,"Amazon.com, Inc.",2021,0.034440187313751,,,
Top 100 Fashion Project Research Group+Science Based Targets,"Amazon.com, Inc.",2021,Yes,,,
Laureen van Breen+Scope 1 GHG over number of employees,"Amazon.com, Inc.",2021,0.00000756875,,,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,"Amazon.com, Inc.",2020,Committed,https://wikirate.org/~6321626,,
Top 100 Fashion Project Research Group+Science Based Targets,"Amazon.com, Inc.",2020,Yes,,,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)","Amazon.com, Inc.",2018,9690000,https://wikirate.org/~5759219,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)","Amazon.com, Inc.",2018,34710000,https://wikirate.org/~5759219,,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)","Amazon.com, Inc.",2018,18120000,https://wikirate.org/~5759219,,
Commons+Greenhouse Gas Emissions Scope 1,"Amazon.com, Inc.",2018,9690000,,,
Commons+Greenhouse Gas Emissions Scope 1 and 2 combined,"Amazon.com, Inc.",2018,44400000,,,
"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)","Amazon.com, Inc.",2018,62520000,,,
WikiRate Calculated Metric Design Group+Greenhouse Gas emissions per employee,"Amazon.com, Inc.",2018,68.5714285714286,,,
Commons+Greenhouse Gas Emissions Scope 2,"Amazon.com, Inc.",2018,34710000,,,
Gershon M. Bialer+CO2e Intensity,"Amazon.com, Inc.",2018,Unknown,,,
WikiRate Calculated Metric Design Group+Greenhouse gas emissions per dollar revenue,"Amazon.com, Inc.",2018,Unknown,,,
Laureen van Breen+Scope 1 GHG over number of employees,"Amazon.com, Inc.",2018,14.965250965251,,,
University of Wollongong Research Group 2020+Wollongong 2020 - Climate Disclosure Rate,"Amazon.com, Inc.",2018,60,,,
